id,id_domanda,title,id_docente,text,id_autore,label,voto_predetto,commento,source,data_creazione
013317d1cd210212b21c5e6acdfa31832fbcdd4f23a0a7ba9b2c7a44cdeeacef,c6767705fc28d69e894b2ed0e5a147b70e77e095b69fb8534a7fe6c412658756,Quali sono le principali differenze tra l'arte del Rinascimento e quella del Medioevo?,docente.archeologia,Non ci sono differenze significative; l'arte del Rinascimento e quella medievale possono essere considerate strettamente intercambiabili in termini di stile e soggetto.,studente.archeologia,0,-1,undefined,internal__training,2024-04-06T11:11:42.670947
019392462deabec796a0d4ddd3fe99686edcac36565b968c04201302bbcb17d6,019392462deabec796a0d4ddd3fe99686edcac36565b968c04201302bbcb17d6,Come interpretare le pitture rupestri del Paleolitico?,docente.archeologia,"Le pitture rupestri del Paleolitico, sebbene complesse da interpretare, forniscono preziose informazioni sulla vita e sulle credenze degli antichi cacciatori-raccoglitori. Spesso rappresentano scene di caccia, animali e cerimonie religiose, suggerendo una connessione profonda tra gli esseri umani e il mondo naturale. Le immagini potrebbero anche avere scopi magico-rituali, di registrazione storica o persino artistici, offrendo uno sguardo unico sulle mentalità e le capacità artistiche dei nostri antenati preistorici.",docente.archeologia,5,-1,undefined,internal__training,2024-04-06T11:11:35.505364
01c69e2cf015360e1791bdac6c4c3eb45ac0e5abc41f7932d93800ebac969e12,ceea601f13973e430c6778c1c170329a731dd53ff825881025d0db885f9d247b,Come si sono evolute le tecniche di costruzione nel periodo romano?,docente.archeologia,"Le tecniche di costruzione romane sono rimaste invariate dal periodo greco, focalizzandosi esclusivamente su elementi decorativi piuttosto che su innovazioni strutturali.",studente.archeologia,1,-1,undefined,internal__training,2024-04-06T11:11:40.785897
03a4f1c4a929d02d662b9722ed07f8f43de17a1749e067fe7faabbb0dac42749,40ac88bb03aaaaa716ccf46b77f1b8a4e6baaf3bdea53e7db7f6927c56b3e568,Qual è il significato dei megaliti di Stonehenge?,docente.archeologia,"Stonehenge è generalmente interpretato come un complesso preistorico usato per osservazioni astronomiche, cerimonie religiose o pratiche sociali rituali.",studente.archeologia,3,-1,undefined,internal__training,2024-04-06T11:11:42.116554
069cfa54614e578b2b7ed7c07a19d003ec2ca64d1dcfa5847c13d00dc82dbfb7,069cfa54614e578b2b7ed7c07a19d003ec2ca64d1dcfa5847c13d00dc82dbfb7,Qual è una differenza principale tra l'arte classica greco-romana e quella neoclassica?,docente.archeologia,"Una delle differenze principali tra l'arte classica greco-romana e quella neoclassica risiede nella loro contestualizzazione storica e nell'approccio artistico. L'arte classica greco-romana si riferisce all'arte prodotta nell'antica Grecia e Roma, caratterizzata da un'attenzione alla perfezione formale, all'equilibrio armonico e alla rappresentazione idealizzata del corpo umano. Al contrario, l'arte neoclassica emerse nel XVIII secolo come movimento artistico e culturale che si ispirava all'arte classica, ma reinterpretava i suoi principi estetici alla luce della società e della politica dell'epoca. L'arte neoclassica enfatizzava l'ordine, la simmetria e la chiarezza formale, con una particolare attenzione per le tematiche patriottiche e l'imitazione dell'arte antica come modello di perfezione artistica.",docente.archeologia,5,-1,undefined,internal__training,2024-04-06T11:11:40.093409
06a542e09f1eeb255f2cc593b348e0f7073ad24cfb69ae7c919994aaa737f2ca,019392462deabec796a0d4ddd3fe99686edcac36565b968c04201302bbcb17d6,Come interpretare le pitture rupestri del Paleolitico?,docente.archeologia,"Le pitture rupestri del Paleolitico sono interpretate come espressioni culturali che rappresentano la vita quotidiana, le credenze religiose e le conoscenze astronomiche delle società preistoriche.",studente.archeologia,4,-1,undefined,internal__training,2024-04-06T11:11:41.462646
07f145bfb83d6fb6181d79e8a9fa957b3200a5673c1e47f46b126b9efb56f556,c6c6153e3f90999fcacd185056031a226c9b5250e3daf67abcab7991ee032d03,Quale innovazione nell'architettura romana ha permesso la costruzione di grandi spazi interni coperti?,docente.archeologia,"L'innovazione che permise la costruzione di grandi spazi interni coperti nell'architettura romana fu l'introduzione del calcestruzzo. Questo materiale, composto da una miscela di acqua, calce, aggregati e pozzolana, era molto più resistente del mattone o della pietra e poteva essere gettato in forme complesse. L'utilizzo del calcestruzzo permise la realizzazione di volte a botte, cupole e solai, che coprivano ampie aree senza la necessità di supporti interni. Esempi emblematici di questa innovazione sono il Pantheon, le terme romane e gli edifici basilicali. La volta a botte, in particolare, permise di distribuire il peso su una superficie più ampia, consentendo la costruzione di edifici più alti e spaziosi. Oltre al calcestruzzo, altre innovazioni come l'arco e la cupola contribuirono alla creazione di grandi spazi interni. L'arco, elemento strutturale curvo, permetteva di superare aperture ampie, mentre la cupola, una struttura a forma di calotta emisferica, consentiva di coprire spazi circolari. L'utilizzo combinato di queste innovazioni rivoluzionò l'architettura romana, permettendo la realizzazione di edifici monumentali con ampie e luminose sale interne.",studente.archeologia3,5,-1,undefined,internal__training,2024-04-06T11:11:47.914154
0b86a0bf6f862431d2ae4d297b799d2882294ffa24348294e65414d8cc038db1,95e35a6a249229e0cb4e9d943dc6cf6fb8015fa0ae7ed8b2d9f481865519de0f,Cosa distingue l'architettura gotica da quella romanica?,docente.archeologia,"L'architettura gotica si distingue per l'uso di arcate a sesto acuto, volta a crociera e supporti snelli come i contrafforti volanti, rispetto alla massiccia semplicità e alle cupole semicircolari del romanico.",studente.archeologia2,5,-1,undefined,internal__training,2024-04-06T11:11:41.656575
0bd70f2d846b0fe32edf11049f9a71cb15e6980a67b4d38a08b16c9d8cde682e,c2497abab9a9f3797f5de27feb7aff1d4745dd7be8ff24ab2d5920751cab452e,Quali erano le principali funzioni dei castelli medievali?,docente.archeologia,"I castelli medievali servivano come centri di amministrazione locale, residenze nobiliari e soprattutto come strutture difensive durante i periodi di conflitto.",studente.archeologia2,3,-1,undefined,internal__training,2024-04-06T11:11:43.001463
0cbd24f7bef85d4c2822f47abfef3d82796545610fecffe8307ad73d6d83153c,a7d77718a29fe77540b8412ae3bb54f731f9680d2eccce31ed21d492810477ac,Come veniva rappresentata la figura umana nell'arte cicladica?,docente.archeologia,"La figura umana nell'arte cicladica era estremamente realistica e dettagliata, con un'enfasi sul realismo anatomico simile a quello dell'arte rinascimentale.",studente.archeologia2,0,-1,undefined,internal__training,2024-04-06T11:11:44.051916
