id,text,label,id_docente,source,archived,data_creazione
4ceab3a0246cb1d66c7c5577b0bdba388d97c9de2bb17123fc9ec80724a6723e,Chi è accreditato per la scoperta del sito archeologico di Troia?,Scoperta di Troia,docente.archeologia,internal__training,False,2024-04-06T11:11:34.742730
fd7183a0b639fc3001725b6d2fec10aa0b2eddd6e5113c6418f04b78e8b49372,Qual era la principale funzione delle monete nell'antica Roma?,Monete nell'Antica Roma,docente.archeologia,internal__training,False,2024-04-06T11:11:34.711279
13b896c6ee92ee7a2f7160d21030b11a16cdd260fc4f34ca774717cbc17f7752,Qual era la tecnica predominante utilizzata dai Greci antichi per la fusione delle statue in bronzo?,Fusione del Bronzo nella Statuaria Greca,docente.archeologia,internal__training,False,2024-04-06T11:11:34.632139
0fe98b61a9e450e10396ec058ecf3756adbc3d961d4614a41bc05e5ae94829bf,Qual è stata una delle cause principali del declino dell'Impero Romano d'Occidente?,Declino dell'Impero Romano,docente.archeologia,internal__training,False,2024-04-06T11:11:34.564801
b7fb74ea557512f26182daca0b3f792b23dbedf14d30ab402783aa8932e6e833,Quale metodo di datazione è comunemente utilizzato per determinare l'età di siti archeologici antichi?,Datazione dei Siti Archeologici,docente.archeologia,internal__training,False,2024-04-06T11:11:34.533846
069cfa54614e578b2b7ed7c07a19d003ec2ca64d1dcfa5847c13d00dc82dbfb7,Qual è una differenza principale tra l'arte classica greco-romana e quella neoclassica?,Classica vs Neoclassica,docente.archeologia,internal__training,False,2024-04-06T11:11:34.499262
c6c6153e3f90999fcacd185056031a226c9b5250e3daf67abcab7991ee032d03,Quale innovazione nell'architettura romana ha permesso la costruzione di grandi spazi interni coperti?,Architettura Romana,docente.archeologia,internal__training,False,2024-04-06T11:11:34.467304
87b4c420bf74de55ff7255a47a12e5e95d2efa69fb4f1f5fad45dd076ffe3e2e,In che modo le tecniche di restauro moderne possono influenzare la percezione delle opere d'arte antiche?,Tecniche di Restauro Moderne,docente.archeologia,internal__training,False,2024-04-06T11:11:34.359855
44be61599e9ce39c654ca3ca27e69027261aebf3b464d90a910d8fde1aebdbea,Quali sono state le influenze culturali sull'arte della Mesopotamia?,Influenze Culturali sull'Arte Mesopotamica,docente.archeologia,internal__training,False,2024-04-06T11:11:34.292588
fc23c49c28423bbf54d496af19437027055f0ca30c93c629ec74817d66335aa8,Come l'arte rupestre può essere interpretata per comprendere le culture preistoriche?,Interpretazione dell'Arte Rupestre,docente.archeologia,internal__training,False,2024-04-06T11:11:34.259534
cbe7b5eeca89050d7ee6ff5440425c9e21d8c5c0831d1bfd4316fe95ee0f2e6a,Quali sono le tecniche di navigazione e mappatura utilizzate dalle antiche civiltà marinare?,Navigazione e Mappatura Antiche,docente.archeologia,internal__training,False,2024-04-06T11:11:34.225349
c9315f3f4e3c9124263f86e74421b98f95634731aa090d767af19ac460be2038,Come l'arte ha influenzato la politica nell'antica Grecia?,Arte e Politica nell'Antica Grecia,docente.archeologia,internal__training,False,2024-04-06T11:11:34.152974
fc72e3775d2d0a5e0324c446dcc42fff2ad27bd179e172cac25587a32c4b4740,Quali sono le principali caratteristiche delle sculture dell'arte romanica?,Sculture dell'Arte Romanica,docente.archeologia,internal__training,False,2024-04-06T11:11:34.088510
5971c4b6627dae7bbfb4ee3211a051d42cca83ed975c4413ea6c39b977e44272,In che modo gli affreschi di Pompei ci forniscono informazioni sulla vita e l'arte dell'epoca?,Affreschi di Pompei,docente.archeologia,internal__training,False,2024-04-06T11:11:34.052425
0f8b4da1c30f721d6f9fcf1ecaee66e2c1d1354c5d9ac5ab8e5fa8693a4ba69e,Quali fattori hanno influenzato lo sviluppo dell'architettura gotica?,Sviluppo dell'Architettura Gotica,docente.archeologia,internal__training,False,2024-04-06T11:11:34.018899
a3d8c094113eaa001f979891a998bfdb04b068b254d9a39a23a6c995291910e6,Come si sono sviluppate le città-stato nella Grecia antica e quale era il loro ruolo nella società?,Città-Stato nella Grecia Antica,docente.archeologia,internal__training,False,2024-04-06T11:11:33.949587
688df35005e20938136e25ea41094b1be01cfcaedcc20c99b58779ab0281663f,Quali erano le principali tecniche di scultura utilizzate nella Grecia antica?,Tecniche di Scultura nella Grecia Antica,docente.archeologia,internal__training,False,2024-04-06T11:11:33.877034
523c3be77228ce06646dc7deea28b5a9b41886f832e14682b70efb4da12c3fc7,In che modo l'arte dell'antico Egitto è stata influenzata dalla sua geografia?,Influenza della Geografia sull'Arte Egizia,docente.archeologia,internal__training,False,2024-04-06T11:11:33.845038
dc472859539b54d275c19df4208af3b0bc9571f6f9269508199e4d041bc4aadf,Quali tecniche di conservazione sono utilizzate per preservare le opere d'arte antiche?,Tecniche di Conservazione,docente.archeologia,internal__training,False,2024-04-06T11:11:33.811688
f885c55947b3617212c238e5e4f9820aad731afbc00658aad825ecd14ab2f057,Come l'analisi del DNA sta cambiando la nostra comprensione delle migrazioni antiche?,Analisi del DNA e Migrazioni Antiche,docente.archeologia,internal__training,False,2024-04-06T11:11:33.779900
