id,id_domanda,title,id_docente,text,id_autore,label,voto_predetto,voto_predetto_all,use_as_ref,commento,source,data_creazione
125e42cab738411f0bb884f2e3ffcc46790541f578553d55b70eee5d8d01b94b,24f43dd9004367ea4dd5b824cb91fd2d75bfd90ba26d15783af7ace54d9d5156,Qual è la differenza tra una chiave primaria e una chiave esterna?,docente.basidati,"Una chiave primaria è un attributo o un insieme di attributi in una tabella di un database relazionale che identifica univocamente ogni riga della tabella. Essa garantisce l'unicità e l'identificabilità di ciascuna riga e può essere utilizzata come riferimento da altre tabelle attraverso le chiavi esterne. Le chiavi esterne sono attributi in una tabella che fanno riferimento alla chiave primaria di un'altra tabella. Questo meccanismo permette di stabilire relazioni tra le tabelle, consentendo di collegare dati correlati e mantenere l'integrità referenziale nel database. Le chiavi esterne garantiscono che non ci siano righe orfane e permettono di effettuare operazioni di join per recuperare dati da più tabelle correlate.",docente.basidati,10,-1,-1,True,undefined,application,2024-04-06T13:41:19.465928
23bd2430c927c36c442f954b2c5d6693448769d652a05dd1207b2724a813ac3e,6c54383a90aac9c612c427c5af8e941560517d36f385d2a0767ee149bb68639e,Qual è la differenza tra SQL e NoSQL?,docente.basidati,"SQL è un linguaggio utilizzato per interagire con database relazionali, dove i dati sono organizzati in tabelle con righe e colonne. I database SQL seguono uno schema rigido e richiedono una struttura predefinita, con relazioni definite tra le tabelle. D'altra parte, NoSQL è un termine generico per database che non aderiscono al modello relazionale. I database NoSQL possono essere di diversi tipi, tra cui documenti, chiave-valore, colonne e grafici, e offrono maggiore flessibilità e scalabilità rispetto ai database SQL, con la capacità di gestire grandi quantità di dati non strutturati e variazioni nello schema dei dati.",studente.basidati,8,8,8,False,undefined,application,2024-05-01T20:18:09.290203
2dc69b17f9a0d9006593f4ea00353e57060d8a609da85964788dc613335ff611,6c54383a90aac9c612c427c5af8e941560517d36f385d2a0767ee149bb68639e,Qual è la differenza tra SQL e NoSQL?,docente.basidati,"SQL (Structured Query Language) and NoSQL (Not Only SQL) are two types of database management systems that differ primarily in their data models and storage architectures. SQL databases adhere to a structured schema, typically utilizing tables with predefined schemas, making them suitable for applications requiring complex queries and transactions. On the other hand, NoSQL databases offer more flexibility by supporting unstructured or semi-structured data models, enabling horizontal scalability and efficient handling of large volumes of data across distributed systems. While SQL databases excel in maintaining data integrity and enforcing ACID (Atomicity, Consistency, Isolation, Durability) properties, NoSQL databases prioritize scalability, performance, and agility, making them favored choices for handling dynamic, rapidly evolving datasets and applications.",studente.basidati.eng,-1,9,9,False,undefined,application,2024-05-01T20:26:52.825350
38abdf692ffbcbb55d8eb401aae6c6ca07b3a6c9e63fff57cf54ca596f0c7bf7,2fe60b80cc1cd48d4f05451d68eedbc8445444cbe76505b08bfc7f526e670a3b,Cos'è un database relazionale?,docente.basidati,"A relational database is a structured way of organizing data where information is stored in tables containing rows and columns. The relationships between these tables are defined by keys, such as primary and foreign keys, which establish connections between related data elements. This model allows for efficient data retrieval and management using SQL queries, ensuring data integrity and facilitating complex operations like joins and transactions.",studente.basidati.eng,-1,8,8,False,undefined,application,2024-05-01T20:27:39.074120
467da7aacb8afc28f63bd6ed6300b541a112bc286347159e029d5d4a1915c9cf,2fe60b80cc1cd48d4f05451d68eedbc8445444cbe76505b08bfc7f526e670a3b,Cos'è un database relazionale?,docente.basidati,"Un database relazionale è un tipo di database che organizza i dati in tabelle con righe e colonne, dove ogni riga rappresenta un record e ogni colonna rappresenta un attributo dei dati. Questo modello di dati relazionale utilizza il linguaggio SQL per interrogare e manipolare i dati. Il design dei database relazionali si basa sulla teoria delle relazioni e sul concetto di normalizzazione per garantire l'integrità dei dati e facilitare le operazioni di interrogazione. Le tabelle all'interno di un database relazionale possono essere collegate tra loro attraverso chiavi primarie e chiavi esterne, consentendo la gestione delle relazioni tra i dati. I database relazionali sono ampiamente utilizzati in molte applicazioni aziendali e software, offrendo affidabilità, coerenza e una struttura ben definita per l'organizzazione dei dati.",studente.basidati,-1,9,9,False,undefined,application,2024-05-01T20:18:47.420543
59746cfe58a3ab73e03e7052a6494d61f7eb4b785dff72c38c133d251934f99d,cdc4ece5259091b48ce456a836ba5d2d71eef175089b5fa6f54fed81157d8089,Cosa significa la normalizzazione dei dati?,docente.basidati,La normalizzazione dei dati è il processo di organizzare i dati in modo efficiente eliminando la ridondanza e garantendo l'integrità dei dati. Questo processo coinvolge la suddivisione delle tabelle in tabelle più piccole e la definizione di relazioni tra di esse per ridurre la duplicazione dei dati.,docente.basidati,10,-1,-1,True,undefined,application,2024-04-06T13:50:52.977706
5bd8d89af69e9d7cfa84abb9e68ac7ff5e684eff6f267d3c541d9816f03b7295,6c54383a90aac9c612c427c5af8e941560517d36f385d2a0767ee149bb68639e,Qual è la differenza tra SQL e NoSQL?,docente.basidati,"SQL e NoSQL rappresentano due approcci distinti alla gestione dei dati. SQL, o Structured Query Language, è associato ai database relazionali e utilizza un modello di dati tabellare con righe e colonne interrelate. È ottimo per dati strutturati e applicazioni che richiedono transazioni complesse e coerenza dei dati. D'altra parte, NoSQL, o Not Only SQL, è un'alternativa che supporta una vasta gamma di modelli di dati, come documenti, chiavi-valore e colonne. È ideale per dati non strutturati o semi-strutturati, fornendo maggiore scalabilità e flessibilità, a volte a scapito della coerenza dei dati.",studente.basidati3,-1,8,8,False,undefined,application,2024-05-01T20:21:59.943597
82a89056aa4b0a4e027cf427f27b808583789cac93303f532d1040133fea2a3f,6c54383a90aac9c612c427c5af8e941560517d36f385d2a0767ee149bb68639e,Qual è la differenza tra SQL e NoSQL?,docente.basidati,"SQL (Structured Query Language) è associato a database relazionali con schema rigido, mentre NoSQL si riferisce a una vasta gamma di database che offrono maggiore flessibilità e scalabilità, sacrificando talvolta la coerenza dei dati.",studente.basidati2,-1,6,6,False,undefined,application,2024-05-01T20:20:07.124205
83157cdec8f55eff649b8a64f3c0b0b0e4e2108ec064686719e1ecaf3fd9ed2d,24f43dd9004367ea4dd5b824cb91fd2d75bfd90ba26d15783af7ace54d9d5156,Qual è la differenza tra una chiave primaria e una chiave esterna?,docente.basidati,"La chiave primaria è un attributo o un insieme di attributi in una tabella di un database relazionale che identifica univocamente ogni riga della tabella, garantendo l'unicità e l'identificabilità delle righe. Al contrario, una chiave esterna è un attributo in una tabella che fa riferimento alla chiave primaria di un'altra tabella, stabilendo relazioni tra i dati in tabelle diverse. Le chiavi esterne permettono di mantenere l'integrità referenziale e di stabilire collegamenti tra dati correlati in tabelle diverse, consentendo operazioni di join e garantendo che non ci siano righe orfane nel database.",studente.basidati2,-1,10,10,False,undefined,application,2024-05-01T20:20:47.719797
916671729418c2047970f5a99bc7044aac2a5424f1f3db8c76d5ffad90b8a331,6c54383a90aac9c612c427c5af8e941560517d36f385d2a0767ee149bb68639e,Qual è la differenza tra SQL e NoSQL?,docente.basidati,"SQL (Structured Query Language) è un linguaggio di interrogazione utilizzato per gestire e manipolare dati in database relazionali. NoSQL (Not Only SQL) è un termine generico che si riferisce a una vasta gamma di database che utilizzano modelli di dati diversi rispetto ai tradizionali database relazionali. Mentre SQL è basato su tabelle e relazioni, NoSQL può utilizzare modelli di dati come documenti, grafi o chiave-valore.",trimarco.francesco,-1,7,7,False,undefined,application,2024-04-06T16:58:17.232507
